file,xPath,xRaw_header,xName,stdXName
E116_S28_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S28_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S28_Prasad_2018.xml,PROPERTIES/Thermal/DSC_Profile/data,Temperature (Celsius),Temperature,Temperature
E116_S29_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S29_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S29_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S29_Prasad_2018.xml,PROPERTIES/Thermal/DSC_Profile/data,Temperature (Celsius),Temperature,Temperature
E116_S2_Prasad_2018.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Temperature (Celsius),Temperature,Temperature
E116_S2_Prasad_2018.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Temperature (Celsius),Temperature,Temperature
E116_S2_Prasad_2018.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Temperature (Celsius),Temperature,Temperature
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Frequency,
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Frequency,Frequency
E116_S2_Prasad_2018.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Frequency,Frequency
